	Alternate Symbols
MKS1	BBS13,FLJ20345,POC12
MKS2	
MLANA	MART1
MLF1	
MLF2	NTN4
MLH3	
MLL2	ALR,CAGL114,KMT2D,MLL4
MLL3	HALR,KIAA1506,KMT2C
MLLT1	ENL,LTG19,YEATS1
MLLT10	AF10
MLLT10P1	bA348I14.3
AFF1	AF-4,AF4
MLLT3	AF-9,AF9,YEATS3
MLLT4	AF-6,AF6
MLLT6	AF17,FLJ23480
MLN	
MARCKSL1	F52,MLP1,MacMARCKS
MLS	
MLVI2	
MLYCD	MCD,hMCD
MMD	MMA,PAQR11
MME	CD10,NEP
MMEL1	NEPII,NL1,NL2,SEP
MMP1	
MMP10	
MMP11	
MMP12	HME
MMP13	CLG3
MMP14	MT1-MMP
MMP15	MT2-MMP,MTMMP2,SMCP-2
MMP16	DKFZp761D112,MT3-MMP
MMP17	MT4-MMP
MMP19	RASI-1
MMP2	TBE-1
MMP20	
MMP23A	MIFR
MMP23B	MIFR,MIFR-1
MMP24	MT5-MMP
MMP25	MT6-MMP
MMP26	MGC126590,MGC126592,endometase
MMP27	
MMP28	EPILYSIN,MM28,MMP-25,MMP-28
MMP3	
MMP7	PUMP-1
MMP8	
MMP9	
MMRN1	ECM,EMILIN4,GPIa*
MN1	MGCR1,MGCR1-PEN
MNAT1	MAT1,RNF66
MNDA	PYHIN3
MNG1	
MNT	MAD6,MXD6,ROX,bHLHd3
MOBP	
SLC6A1	GABATHG,GABATR,GAT1
MOCS1	MOCOD
MOCS1P1	
MOCS2	MOCO1
MOCS3	UBA4,dJ914P20.3
MOG	
MORC1	CT33,ZCW6
MOS	
MOV10	MGC2948,fSAP113,gb110
MOV10L1	DJ402G11.8,DKFZp434B0717
MOV34L	
CD200	MRC,OX-2
MPDU1	CDGIf,Lec35,PQLC5,SL15
MPDZ	MUPP1
MPE	
MPFD	
MPG	MDG
MPHOSPH10	CT90,MPP10,MPP10P
MPHOSPH6	MPP6
MPHOSPH9	MPP9
MPI	
MPL	CD110,TPOR
MPP1	PEMP
MPP2	DKFZp761D0712
MPP3	
MPP4	
MPST	MST,TST2
MPV17	SYM1
MPZ	HMSNIB
MPZL1	FLJ21047,PZR
MRAS	M-RAs,R-RAS3,RRAS3
MRC1	CD206,CLEC13D,CLEC13DL,bA541I19.1
MRE11A	ATLD
MRE11B	hMRE11B
MROS	MRS
MRP63	
MRPL1	BM022
MRPL10	L10MT,MGC17973,MRP-L10,MRP-L8,MRPL8,RPML8
MRPL11	
MRPL12	MRPL7,MRPL7/L12
MRPL13	L13,L13A,L13mt,RPL13,RPML13
MRPL14	MRP-L32,RPML32
MRPL15	HSPC145,L15mt,MRP-L15,MRP-L7,RPML7
MRPL16	FLJ20484,PNAS-111
MRPL17	MRP-L26,RPML26
MRPL18	HSPC071
MRPL19	KIAA0104,MRP-L15,RLX1,RPML15
MRPL2	CGI-22,MRP-L14,RPML14
MRPL20	FLJ10024
MRPL21	
MRPL22	HSPC158,MRP-L25,RPML25
MRPL23	L23MRP
MRPL24	MRP-L18
MRPL27	
MRPL3	MRL3
MRPL30	MRP-L28,RPML28
MRPL32	HSPC283,L32mt,MRP-L32,bMRP-59b
MRPL33	RPL33L
MRPL34	L34mt,MGC24974,MGC2633
MRPL35	
MRPL36	BRIP1,L36mt,MRP-L36,PRPL36,RPMJ
MRPL37	MRP-L2,RPML2
MRPL38	HSPC262,MGC4810,MRP-L3,RPML3
MRPL39	C21orf92,FLJ20451,L39mt,MGC104174,MGC3400,MRP-L5,MSTP003,PRED22,PRED66,RPML5
MRPL4	CGI-28
MRPL40	MRP-L22
MRPL41	BMRP,MRP-L27,MRPL27,PIG3,RPML27
MRPL42	HSPC204,MRP-L31,MRPL31,MRPS32,PTD007,RPML31
MRPL43	bMRP36a
MRPL44	FLJ12701,FLJ13990
MRPL45	MGC11321
MRPL46	LIECG2,P2ECSL
MRPL47	CGI-204,NCM1
MRPL48	CGI-118
MRPL49	L49mt,NOF,NOF1
MRPL50	FLJ20493,MRP-L50
MRPL51	CDA09,HSPC241,bMRP64
MRPL52	
MRPL53	
MRPL54	
MRPL55	
MRPL9	
MRPS10	FLJ10567
MRPS11	FLJ22512,FLJ23406,HCC-2
MRPS11P1	dJ746H2.1
MRPS12	RPS12,RPSM12
MRPS14	HSMRPS14
MRPS15	FLJ11564
ADD1	
SLC6A2	
MRPS16	CGI-132
MRPS16P2	bA379F14.1
MRPS17	HSPC011,MRP-S17,RPMS17
MRPS18A	FLJ10548,MRPS18-3
MRPS18B	C6orf14,HSPC183,MRPS18-2,PTD017
MRPS18C	CGI-134,FLJ11146,FLJ22967,MRPS18-1
MRPS2	CGI-91
MRPS21	
MRPS22	C3orf5,GIBT,GK002,MRP-S22
MRPS23	CGI-138,HSPC329,MRP-S23
MRPS24	HSPC335,MRP-S24
MRPS25	DKFZp313H0817,FLJ00023,MRP-S25,RPMS25
MRPS26	MRP-S13,MRP-S26,RPMS13,dJ534B8.3
MRPS27	KIAA0264
MRPS28	HSPC007,MRP-S28,MRPS35
MRPS30	
MRPS31	IMOGN38
MRPS33	CGI-139
MRPS34	MGC2616,MRP-S12
MRPS35	MDS023,MRPS28
MRPS36	DC47,MRP-S36
MRPS5	MRP-S5,S5mt
MRPS6	MRP-S6,RPMS6
MRPS7	MRP-S,RP-S7,RPMS7
MRPS9	MRP-S9,RPMS9,S9mt
MRRF	RRF
MRSD	
MRVI1	IRAG,JAW1L
MRX1	
MRX11	
MRX12	
MRX13	
MRX14	
MRX15	
MRX17	
MRX18	
MRX2	
MRX20	
MRX23	
MRX24	
MRX25	
MRX26	
MRX27	
MRX28	
MRX3	
MRX31	
MRX35	
MRX37	
MRX39	
MRX4	
MRX40	
MRX42	
MRX49	
MRX5	
MRX50	
MRX51	
MRX52	
MRX53	
MRX56	
MRX57	
MRX6	
MRX61	
MRX62	
MRX64	
MRX65	
MRX66	
MRX67	
MRX69	
MRX7	
MRX70	
MRX72	
MRX73	
MRX74	
SLC6A3	DAT
MRX75	
MRX77	
MRX78	
MRX8	
MRXS11	SMRXS
MRXS7	
MS	
MS4A2	MS4A1
MS4A10	CD20L7,MS4A9
MS4A1	B1,Bp35,MS4A2
MS4A3	HTM4
MS4A4A	CD20L1,MS4A7
MS4A4E	
MS4A5	CD20L2
MS4A6A	CD20L3
MS4A6E	
MS4A7	CD20L4,CFFM4,MS4A8
MS4A8	CD20L5,MS4A4
MSBP1	
MSBP2	
MSC	ABF-1,bHLHa22
MSD	
SEPT9	AF17q25,KIAA0991,MSF1,PNUTL4,SeptD1
MSH2	HNPCC,HNPCC1
MSH3	DUP,MRP1
MSH4	
MSH5	
MSI1	
MSK10	
MSK32	
MSK38	
MSK9	
MSL3P1	
MSLN	CAK1,MPF
MSMB	IGBF,MSP,MSPB,PN44,PRPS,PSP,PSP-94,PSP57,PSP94
MSN	
MSNP1	
MSR1	CD204,SCARA1
MSRA	
MSSE	
MST1	MSP,NF15S2
MST1R	CD136,CDw136
MSTP1	
MST1P2	MSPL-2,MSPL2
MSTP3	
MSTP4	
MSTP5	
MSTP6	
MSTP8	
MST1L	D1F15S1A,MSPL-7,MSPL7
MSX1	HYD1,OFC5
MSX2	CRS2,FPP,HOX8,MSH,PFM
MT1A	
MT1B	
SLC6A4	5-HTT,SERT1
MT1CP	
MT1DP	MTM
MT1E	MTD
MT1F	
MT1G	MT1K
MT1H	
MT1JP	MTB
MT1L	MT1R,MTF
MT1X	MT-1l
MT2A	
MT2P1	
MT3	GIF
MT7SDNA	
MTA1	
MTA2	MTA1-L1
MTAP	MSAP,c86fus
MT-ATP6	
MT-ATP8	
MTATT	
MTBP	
MT-CO1	
MTCO1P1	
MT-CO2	
MTCO2P1	dJ342K12.1
MT-CO3	
MTCSB1	
MTCSB2	
MTCSB3	
MT-CYB	
MTF1	
MTHFD1	
MTHFD1P1	
MTHFD2	
MTHFS	HsT19268
MTHPR	
MTHSP1	
MTHSP2	
MTIF2	IF-2mt
MTIF2P1	
MT1XP1	
MTL2	
MTL3P	
MTL4	
MTL5	CXCDC2
MTLSP	
MTM1	
MTMR1	
MTMR2	KIAA1073
MTMR3	FYVE-DSP1,KIAA0371,ZFYVE10
MTMR4	KIAA0647,ZFYVE11
MTMR6	
MTMR7	
MT-ND1	
MT-ND2	
MTND2P1	
MT-ND3	
MT-ND4	
MT-ND4L	
MT-ND5	
MT-ND6	
MTNR1A	MEL-1A-R
MTNR1B	
MTOHR	
MTOLR	
MTPN	GCDP,MYOTROPHIN,V-1
MTR	cblG
MTRF1	MGC47721,MTTRF1,RF1
MT-RNR1	
MT-RNR2	
MTRNR3	
MTRR	cblE
MT-TA	
MTTAS	
MT-TC	
MT-TD	
MT-TE	
MTTER	
MT-TF	
MTTFH	
MTTFL	
MTTFX	
MTTFY	
MT-TG	
MT-TH	
MT-TI	
MT-TK	
MT-TL1	
MT-TL2	
MT-TM	
MT-TN	
MT-TP	
MT-TQ	
MT-TR	
SLC8A2	KIAA1087,NCX2
MT-TS1	
MT-TS2	
MT-TT	
MT-TV	
MT-TW	
MT-TY	
MTX1	MTXN
MTX1P1	
MTX2	
MUC1	CD227,PEM
MUC12	
MUC13	
MUC15	
MUC16	CA125,FLJ14303
MUC17	
MUC2	
MUC3A	
MUC3B	
MUC4	
MUC5AC	MUC5
MUC5B	MG1
MUC6	
MUC7	FLJ27047,MG2
MUC8	
	
MUT	
MUTYH	MYH
MVD	MPD
MVK	LRBP,MK
MVP	LRP,VAULT1
MX1	IFI-78K,MxA
MX2	MXB
MXI1	MAD2,MXD2,MXI,bHLHc11
MXRA5	DKFZp564I1922
MXRA7	FLJ46603,PS1TP1,TMAP1
MXRA8	DKFZp586E2023
MYADM	
MYB	c-myb
MYBBP1A	FLJ37886,P160,PAP2
MYBL1	A-myb,AMYB
MYBL2	B-MYB,BMYB
MYBPC1	
MYBPC2	MGC163408,MYBPC,MYBPCF
MYBPC3	FHC,MYBP-C
MYBPH	
MYC	bHLHe39,c-Myc
MYCBP	AMY-1
MYCL1	LMYC,bHLHe38
MYCL1P1	bHLHe38
MYCL3	
MYCLK1	
MYCN	N-myc,bHLHe37
MYCP	
MYD88	
MYEOV	OCIM
MYF5	bHLHc2
MYF6	MRF4,bHLHc4
MYH1	MGC133384,MYHSA1,MYHa,MyHC-2X/D
MYH10	NMMHCB
MYH11	SMHC,SMMHC
MYH13	MyHC-eo
MYH2	MYH2A,MYHSA2,MYHas8,MyHC-2A,MyHC-IIa
MYH3	HEMHC,MYHC-EMB,MYHSE1,SMHCE
MYH4	MYH2B,MyHC-2B,MyHC-IIb
MYH6	
MYH7	CMD1S
MYH7B	KIAA1512,MHC14,MYH14,dJ756N5.1
MYH8	MyHC-peri,MyHC-pn
MYH9	EPSTS,FTNS,MHA,NMHC-II-A,NMMHCA
MYHK	
MYL1	
MYL2	CMH10
MYL3	CMH8,MLC1SB,MLC1V,VLC1
MYL4	ALC1,AMLC,GT1,PRO1957
MYL5	
MYL6	ESMLC,MLC1SM,MLC3NM
MYL6P1	
MYL8P	BING3
MYL9	LC20,MLC2,MRLC1,MYRL2
MYLK	MLCK,MLCK1,MYLK1,smMLCK
MYLK2	KMLC,MLCK2,skMLCK
MYLKP1	
MYLL1	
MYMY1	
MYNN	SBBIZ1,ZBTB31,ZNF902
MYO10	KIAA0799
MYO15A	
MYO15B	MYO15BP
MYO1A	
MYO1B	myr1
MYO1C	myr2
SLC8A1	
MYO1D	KIAA0727,myr4
MYO1E	HuncM-IC,MGC104638,MYO1C
MYO1F	
MYO1G	HA-2
MYO1H	FLJ37587
MYO3A	
MYO3B	
MYO5A	GS1,MYO5,MYR12
MYO5B	KIAA1119
MYO5C	MGC74969
MYO6	KIAA0389
MYO7A	NSRD2
MYO7B	
MYO9A	FLJ11061,FLJ13244,MGC71859
MYO9B	
MYOC	JOAG1,TIGR
MYOD1	MYOD,PUM,bHLHc1
MYOG	bHLHc3
MYOM1	
MYOM2	
MYOZ1	CS-2,FATZ
MYOZ2	CS-1
MYP1	
MYP2	
MYP3	
MYSA	
MYT1	MTF1,MYTI,ZC2HC4A
MYT1L	KIAA1106,NZF1,ZC2HC4B
NA	
NAALAD2	GPCIII,NAADALASE2,NAALADASE2
NAB1	
NAB2	MADER
NACA	NACA1
NAGA	D22S674
NAGK	GNK
NAGLU	
NAMSD	CMTX4
NAP1L1	MGC23410,MGC8688,NAP1,NAP1L,NRP
NAP1L2	BPX,MGC26243
NAP1L3	MB20,MGC26312,NPL3
NAP1L4	NAP2
NAPA	
NAPB	SNAP-BETA,SNAPB
NAPG	
NARS	NARS1
NASP	DKFZp547F162,FLB7527,FLJ31599,FLJ35510,MGC19722,MGC20372,MGC2297,PRO1999
NAA20	NAT3,dJ1002M8.1
NAT8	ATase2,GLA,Hcml1,TSC501
NAV1	DKFZp781D0314,FLJ12560,FLJ14203,KIAA1151,MGC14961,POMFIL3,steerin-1
NAV2	FLJ10633,FLJ11030,FLJ23707,HELAD1,KIAA1419,POMFIL2,RAINB1
NAV3	KIAA0938,POMFIL1
NBEA	BCL8B,FLJ10197,KIAA1544
NBL1	D1S1733E,DAN,DAND1,NB,NO3
NBN	AT-V1,AT-V2,ATV
NCALD	
NCAM1	CD56,NCAM
NCAM2	MGC51008,NCAM21
NCBP1	CBP80,Sto1
NCBP2	CBP20,Cbc2,NIP1
NCF1	NCF1A,NOXO2,SH3PXD1A,p47phox
NCF2	NOXA2,p67phox
NCF4	SH3PXD4,p40phox
NCK1	NCKalpha
NCK2	NCKbeta
NCKAP1	HEM2,NAP125,Nap1
NCL	C23
NCOA1	F-SRC-1,KAT13A,NCoA-1,RIP160,SRC1,bHLHe74
NCOA2	GRIP1,KAT13C,NCoA-2,TIF2,bHLHe75
NCOA3	ACTR,AIB1,CAGH16,KAT13B,RAC3,SRC-3,SRC3,TNRC16,TRAM-1,bHLHe42,p/CIP
NCOA4	ARA70,DKFZp762E1112,ELE1,PTC3,RFG
NCOA5	CIA,bA465L10.6
NCOA6	AIB3,ASC2,KIAA0181,NRC,PRIP,RAP250,TRBP
NCOR1	KIAA1047,MGC104216,N-CoR,TRAC1,hCIT529I10,hN-CoR
NCOR2	CTG26,SMRT,SMRTE,TNRC14,TRAC-1
NDN	HsT16328,PWCR
NDNL2	HCA4,MAGEG1,MAGEL3,NSE3,NSMCE3
NDP	norrin
NDRG1	DRG1,NDR1,RTP,TDD5
NDRG2	KIAA1248,SYLD
NDRG3	
NDRG4	KIAA1180,SMAP-8
NDST1	NST1
NDST2	HSST2,NST2
NDST3	HSST3
NDUFA1	CI-MWFE,MWFE
NDUFA10	CI-42k
NDUFA2	B8
NDUFA3	B9
NDUFA4	CI-9k,MLRQ
NDUFA5	B13,CI-13KD-B,CI-13kB,NUFM,UQOR13
NDUFA5P1	
NDUFA6	B14,CI-B14,LYRM6,NADHB14
NDUFA7	B14.5a
NDUFA8	MGC793,PGIV
NDUFA9	CI-39k,SDR22E1
SLC8A3	NCX3
NDUFAB1	ACP,FASN2A,SDAP
NDUFB1	CI-MNLL,MNLL
NDUFB10	PDSW
NDUFB2	AGGG,CI-AGGG
NDUFB3	B12
NDUFB3P1	
NDUFB3P2	
NDUFB3P3	
NDUFB3P4	
NDUFB3P5	
NDUFB4	B15
NDUFB5	CI-SGDH,MGC12314,SGDH
NDUFB6	B17,CI
NDUFB7	B18,CI-B18,MGC2480
NDUFB8	ASHI,CI-ASHI
NDUFB9	B22,LYRM3,UQOR22
NDUFC1	KFYI
NDUFC2	B14.5b,HLC-1
NDUFS1	CI-75k
NDUFS2	CI-49
NDUFS3	CI-30
NDUFS4	AQDQ,CI-18
NDUFS5	CI-15k
NDUFS6	CI-13kA
NDUFS7	CI-20,FLJ45860,FLJ46880
NDUFS8	CI-23k,TYKY
NDUFV1	CI-51K
NDUFV2	CI-24k
NDUFV2P1	
NDUFV3	CI-10k
NEB	NEB177D
NEDD1	GCP-WD,TUBGCP7
ZNF618	KIAA1952,NEDD10
NEDD4	KIAA0093,MGC176705,NEDD4-1,RPF1
NEDD4L	KIAA0439,NEDD4-2,RSP5
SEPT2	KIAA0158,Pnutl3,hNedd5
DNAJA1	HSPF4,NEDD7,dj-2,hdj-2
NEDD8	Nedd-8
NEDD9	CAS-L,CASS2,HEF1
NEFH	
NEFHP1	
NEFL	CMT1F,CMT2E,NF68,NFL
NEFLL1	
NEFLL2	
NEK1	KIAA1901,NY-REN-55
NEK2	NEK2A,NLK1
NEK3	HSPK36,MGC29949
NEK4	NRK2,pp12301
NEK5	
NEK6	SID6-1512
NEK7	
NELL1	FLJ45906,IDH3GL
NELL2	NRP2
NEO1	HsT17534,IGDCC2,NGN
NES	FLJ21841
NETO1	BCTL1,BTCL1
NETO2	FLJ10430,NEOT2
NEU1	
NEU2	SIAL2
NEU3	
NEURL	NEURL1,RNF67,h-neu,neu-1
NEUROD1	BETA2,BHF-1,MODY6,NeuroD,bHLHa3
NEUROD2	NDRF,bHLHa1
NEUROD4	ATH-3,Atoh3,MATH-3,bHLHa4
NEUROD5	
NEUROD6	Atoh2,Math-2,NEX1M,Nex1,bHLHa2
NEUROG1	AKA,Math4C,bHLHa6,ngn1
NEUROG2	Atoh4,Math4A,NGN2,bHLHa8,ngn-2
NEUROG3	Atoh5,Math4B,bHLHa7,ngn3
NF1	
NF1P3	
NF1P8	
NF1P4	
NF1P5	
NF1P6	Em:AP000532.C22.1
NF1P2	
NF2	merlin
NFAT5	KIAA0827,NF-AT5,NFATL1,NFATZ,OREBP,TONEBP
NFATC1	NF-ATC,NFAT2,NFATc
NFATC2	NF-ATP,NFAT1,NFATp
NFATC4	NFAT3
NFE2	NF-E2
NFE2L1	FLJ00380,LCR-F1,NRF1
NFE2L2	NRF2
NFE2L3	Nrf3
NFIA	KIAA1439,NFI-L
NFIB	NFI-RED,NFIB2,NFIB3
NFIC	CTF,CTF5,NF-I
NFIL3	E4BP4,NF-IL3A,NFIL3A
NFIX	NF1A
SLC9A3	
NFKB2	LYT-10,NF-kB2,p105,p52
NFKBIA	IKBA,IkappaBalpha,MAD-3
NFKBIB	IKBB,TRIP9
NFKBIE	IKBE
NFKBIL1	IKBL
TONSL	IKBR
NFRKB	DKFZp547B2013,INO80G
NFS1	IscS,NifS
NFX1	MGC20369,NFX2
NFYA	CBF-B,HAP2,NF-YA
NFYB	CBF-A,HAP3,NF-YB
NFYC	CBF-C,NF-YC
NGB	
NGEF	ARHGEF27
NGFR	CD271,TNFRSF16,p75NTR
NGFRAP1	BEX3,Bex,DXS6984E,HGR74,NADE
NHCP1	
NHLH1	NSCL,NSCL1,bHLHa35
NHLH2	NSCL2,bHLHa34
NHP2L1	15.5K,FA-1,SNRNP15-5,SNU13,SPAG12
NHS	
NICN1	MGC12936
NICN2P	
NID1	entactin
NID2	
NIDDM1	
NIDDM2	
NIF3L1	CALS-7,MDS015
NIN	
NINJ1	NIN1
NINJ2	
NIPSNAP1	
NISCH	I-1,IRAS,KIAA0975
NIT1	
NKD1	
NKD2	Naked2
NKG7	GIG1
NKS1	EC-1
NKTR	p104
NKX2-2	NKX2.2
NKX2-3	CSX3,NKX2.3,NKX4-3
NKX2-4	NKX2.4
NKX3-1	BAPX2,NKX3.1
NKX6-1	Nkx6.1
NLGN1	KIAA1070
NLGN2	KIAA1366
NLGN3	ASPGX1,AUTSX1,HNL3,KIAA1480
NLGN4X	HLNX,KIAA1260,NLGN
NLN	KIAA1226
NM	
NMB	MGC17211,MGC2277,MGC3936
NMBR	
NME3	DR-nm23,NDPKC,NM23-H3
NME4	NDPKD,NM23H4,nm23-H4
NME5	RSPH23,nm23-H5
NMI	
NMNAT1	NMNAT,PNAT1
NMT1	NMT
NMT2	
NMU	
NMUR2	
NNAT	Peg5
NNO1	
NNT	
EMC8	FAM158B
	
NOG	
NOL3	CARD2,MYP,NOP30
NOL4	CT125,HRIHFB2255,NOLP
NOLC1	KIAA0035,NOPP130,NOPP140,P130
NONO	NMT55,NRB54,P54,P54NRB
NOS2B	
NOS2C	
NOTCH1	
NOTCH2	
NOTCH3	CASIL
NOTCH4	
NOV	CCN3,IGFBP9
NOVA1	
NOVA2	
NOX1	GP91-2,MOX1,NOH-1,NOH1
NOX3	GP91-3
NOX4	KOX,KOX-1
NOX5	NOX5A,NOX5B
PNP	PUNP
NPAS1	MOP5,PASD5,bHLHe11
NPAS2	MOP4,PASD4,bHLHe9
NPAT	E14
NPC1	
NPC1L1	
SLC10A1	NTCP
NPC2	EDDM1,HE1,NP-C2
NPDC1	CAB-,CAB1,DKFZp586J0523
NPEPL1	FLJ11583,bA261P9.2
NPEPPS	MP100,PSA
NPFF	FMRFAL
NPHL1	
NPHP1	JBTS4
NPHP3	FLJ30691,FLJ36696,KIAA2000,MKS7,NPH3
NPHS1	CNF,NPHN
NPHS2	PDCN,SRN1
NPIP	morpheus
NPM1	B23,NPM
NPM1P1	NG1-1.6
NPM1P10	
NPM1P11	
NPM1P12	
NPM1P13	
NPM1P14	
NPM1P17	
NPM1P18	
NPM1P19	
NPM1P2	NG2-6
NPM1P3	NG3-3
NPM1P4	NG4-5
NPM1P5	NG5-4
NPM1P6	NG6-4
NPM1P7	
NPM1P8	
NPM1P9	
NPM2	
NPM3	
NPPB	
NPPC	CNP
NPR1	ANPa,GUCY2A
NPR3	FLJ14054,GUCY2B
NPTX1	
NPTX2	
NPTXR	
NPY2R	
NPY5R	NPYR5
NPY6R	NPY1RL,NPY6RP,PP2
NQO1	DHQU,DTD,QR1
NQO2	DHQV,DIA6,QR2
NR0B1	AHCH,DAX1
NR0B2	SHP
NR1D1	Rev-ErbAalpha,THRA1,ear-1,hRev
NR1D2	BD73,EAR-1r,HZF2,Hs.37288,RVR
NR1H2	LXR-b,NER,NER-I,RIP15
NR1H3	LXR-a,RLD-1
NR1H4	FXR,HRR-1,HRR1,RIP14
NR1I4	
NR2C1	TR2-11
NR2C2	TAK1,TR2R1,hTAK1
NR2E1	TLL,XTLL
NR2E3	PNR,RP37,rd7
NR2F1	COUP-TFI,EAR-3,SVP44,TCFCOUP1
NR2F2	COUP-TFII,COUPTFB,NF-E3,SVP40
NR2F6	EAR-2
NR4A1	N10,NAK-1,NGFIB,NUR77,TR3
NR4A2	HZF-3,RNR1,TINUR
NR4A3	CHN,CSMF,NOR1
NR5A1	AD4BP,ELP,FTZ1,SF-1
NR5A2	B1F2,FTZ-F1,FTZ-F1beta,LRH-1,hB1F,hB1F-2
NR6A1	GCNF1,RTR
NRAP	
NRAS	N-ras
NRBP1	BCON3,MADM,MUDPNP
NRCAM	KIAA0343
NRD1	hNRD1,hNRD2
NRF1	ALPHA-PAL,EWG
NRG1	GGF,HRG,NDF
NRG2	Don-1,HRG2,NTAK
NRG3	
NRGN	RC3
NRIP1	RIP140
NRL	D14S46E,NRL-MAF,RP27
NRM	NRM29
NRP1	CD304,NRP,VEGF165R
NRP2	VEGF165R2
NRTN	NTN
NRXN1	Hs.22998,KIAA0578
NRXN2	
NRXN3	KIAA0743
HMGN5	
NSD1	ARA267,FLJ22263,KMT3B
YBX1	BP-8,CSDA2,CSDB,DBPB,MDR-NF1,NSEP-1,YB-1,YB1
YBX1P1	PSDBPB1
NSF	SKD2
NSFL1C	UBX1,UBXD10,UBXN2C,dJ776F14.1,p47
NSMAF	
NSX	
NT3	
NT5C	DNT1,PN-I,cdN,dNT-1
NT5C1A	CN-I,CN-IA,CN1,CN1A,MGC119199,MGC119201
SLC10A2	
NT5C1B	AIRP,CN-IB
NT5C2	GMP,PNT5,cN-II
NT5C3A	P5'N-1,PN-I,PSN1,UMPH,UMPH1,cN-III,hUMP1,p36
NT5C3AP1	UMPH1P
NT5E	CD73,eNT
NT5M	dNT-2,dNT2,mdN
NTF3	NGF2
NTF6A	NTF5P,PSI-NT4
NTF6B	
NTF6G	
NTHL1	NTH1,OCTS3
SCYL1	GKLP,HT019,MGC78454,NKTL,P105,TAPK,TEIF
NTN1	NTN1L
NTN4	
NTRK1	MTC,TRK,TRKA
NTRK2	TRKB
NTRK3	TRKC
NTS	
NTSR1	NTR
NTSR2	NTR2
NUBP1	
NUBP2	CFD1
NUCB1	Calnuc,NUC
NUCB2	NEFA
NUDC	NudC
NUDCP1	
NUDCP2	
NUDT1	
NUDT10	DIPP3a,hDIPP3alpha
NUDT11	DIPP3b,FLJ10628,hDIPP3beta
NUDT2	
NUDT3	DIPP
NUDT4	DIPP2,DIPP2alpha,DIPP2beta,HDCMB47P,KIAA0487
NUDT4P1	
NUDT5	YSA1H,hYSAH1
NUDT6	FGF-AS,FGF2AS,gfg,gfg-1
NUDT7	
NUDT8	FLJ41567
NUDT9	MGC3037
NUFIP1	NUFIP
NUMA1	
	
NUMBL	CAG3A,CTG3a,NUMB-R,NUMBLIKE,NUMBR,TNRC23
NUP133	FLJ10814
NUP153	HNUP153
NUP155	KIAA0791,N155
NUP160	FLJ22583,KIAA0197
NUP214	CAIN,D9S46E,N214
NUP50	
NUP54	
NUP62	DKFZp547L134,FLJ20822,FLJ43869,IBSN,MGC841,SNDI,p62
NUP88	MGC8530
NUP98	NUP96
NVL	
NXF1	DKFZp667O0311,Mex67
NXF2	CT39,TAPL-2
NXF3	
NXF4	
NXF5	
NXN	FLJ12614,NRX
NXPH2	NPH2
NXPH3	NPH3
NXPH4	NPH4
NXT1	MTR2,P15
NYS1	
NYS2	NYSA
NYS3	CN
NYX	CLRP
GPR143	
OA3	
OAP	
OAS1	IFI-4,OIASI
OAS2	
OAS3	
OASD	
OASL	TRIP14,p59OASL
	HOGA
OATL2	
OATP1	
OAZ1	AZI,MGC138338
OAZ2	
OAZ3	
AZIN1	OAZI,ODC1L
OBSCN	ARHGEF30,KIAA1556,KIAA1639,UNC89
OC90	
OCA2	BEY1,BEY2,EYCL
BDNF	
OCLM	
OCLN	
OCM	OCM1
FBXO2	FBX2,Fbg1,Fbs1,Nfb42
OCRL	OCRL1
ODC1	ODC
ODCP	
SLC11A1	
ODF1	CT133,HSPB10,ODF27,ODFPG,RT7
ODF2	CT134,ODF84
ODT1	
TENM1	TEN-M1
OED	
OFC1	
OFC2	
OFC3	
OFD1	71-7A,JBTS10
OGDH	E1k
OGFR	7-60
OGG1	HMMH,HOGG1,MUTM,OGH1
OGN	OIF,SLRR3A,mimecan
OGT	FLJ23071,HRNT1,MGC22921,O-GLCNAC
OLFM1	AMY,NOE1,NOELIN,OlfA
OLFM2	NOE2,OlfC
OLFM3	NOE3
OLIG1	BHLHB6,bHLHe21
OLIG2	OLIGO2,RACK17,bHLHe19
OLR1	CLEC8A,LOX-1,SCARE1
OMD	SLRR2C,osteoadherin
OMG	OMGP
OMP	
ONECUT1	HNF-6
ONECUT2	OC-2
ONECUT3	
OPA1	FLJ12460,KIAA0567,MGM1,NPG,NTG
OPA2	
OPA3	FLJ22187,MGA3
OPCML	IGLON1,OBCAM,OPCM
OPEM	
OPHN1	ARHGAP41,OPN1
OPLAH	5-Opase,OPLA
OPN1LW	COD5
OPN1MW	COD5,OPN1MW1
OPN1SW	CBT
OPN3	ERO,NMO-1,encephalopsin
OPN4	
OPRD1	
OPRK1	KOR
OPRL1	KOR-3,NOCIR,OOR,ORL1
OPRM1	MOR1
OPTC	
OPTN	FIP2,HIP7,HYPL,NRP,TFIIIA-INTP
OR10A2	OST363
OR10A3	HSHTPCRX12,HTPCRX12
OR10A4	
OR10A5	JCG6,OR11-403
OR10A6	
OR10A7	
OR10AA1P	
OR10AB1P	
OR10AC1P	
OR10AD1	
OR10AE1P	
OR10B1P	
OR10C1	OR10C1P,hs6M1-17
OR10D1P	HTPCRX03,OST074
OR10D3	HTPCRX09
OR10D4P	
OR10D5P	
OR10G1P	
OR10G2	
OR10G3	
OR10G4	
OR10G5P	
OR10G6	OR10G6Q
OR10G7	
OR10G8	
OR10G9	
OR10H1	
