Domain	Description
KLRAQ	Predicted coiled-coil domain-containing protein
Knot1	Knottins
KNOX1	
KNOX2	
KOW	KOW (Kyprides, Ouzounis, Woese) motif.
KR	Kringle domain
KRAB	krueppel associated box
KRAP_IP3R_bind	Ki-ras-induced actin-interacting protein-IP3R-interacting domain
KRBA1	KRBA1 family repeat
KU	BPTI/Kunitz family of serine protease inhibitors.
Ku78	Ku70 and Ku80 are 70kDa and 80kDa subunits of the Lupus Ku autoantigen
L27	domain in receptor targeting proteins Lin-2 and Lin-7
L51_S25_CI-B8	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
LA	Domain in the RNA-binding Lupus La protein; unknown function
LAB_N	Lipid A Biosynthesis N-terminal domain
Lactamase_B	Metallo-beta-lactamase superfamily
LAG1_DNAbind	LAG1, DNA binding
LamB	Laminin B domain
LamG	Laminin G domain
LamGL	LamG-like jellyroll fold domain
LamNT	Laminin N-terminal domain (domain VI)
LAMTOR	Late endosomal/lysosomal adaptor and MAPK and MTOR activator
LANC_like	Lanthionine synthetase C-like protein
LCCL	
LDLa	Low-density lipoprotein receptor domain class A
LEM	in nuclear membrane-associated proteins
LeuA_dimer	LeuA allosteric (dimerisation) domain
Leuk-A4-hydro_C	Leukotriene A4 hydrolase, C-terminal
LH2	Lipoxygenase homology 2 (beta barrel) domain
LIF_OSM	leukemia inhibitory factor
Lig_chan-Glu_bd	Ligated ion channel L-glutamate- and glycine-binding site
LIGANc	Ligase N family
LIM	Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
LINK	Link (Hyaluronan-binding)
Lipid_DES	Sphingolipid Delta4-desaturase (DES)
LisH	Lissencephaly type-1-like homology motif
LITAF	Possible membrane-associated motif in LPS-induced tumor necrosis factor alpha factor (LITAF), also known as PIG7, and other animal proteins.
LMWPc	Low molecular weight phosphatase family
LNS2	
LON	Found in ATP-dependent protease La (LON)
Longin	Regulated-SNARE-like domain
LPD_N	Lipoprotein N-terminal Domain
LRR	Leucine-rich repeats, outliers
LRR_BAC	Leucine-rich repeats, bacterial type
LRR_CC	Leucine-rich repeat - CC (cysteine-containing) subfamily
LRR_RI	Leucine rich repeat, ribonuclease inhibitor type
LRR_SD22	Leucine-rich repeat, SDS22-like subfamily
LRR_TYP	Leucine-rich repeats, typical (most populated) subfamily
LRRcap	occurring C-terminal to leucine-rich repeats
LRRCT	Leucine rich repeat C-terminal domain
LRRNT	Leucine rich repeat N-terminal domain
LSM14	Scd6-like Sm domain
LsmAD	
LU	Ly-6 antigen / uPA receptor -like domain
LY	Low-density lipoprotein-receptor YWTD domain
LysM	Lysin motif
LytTR	LytTr DNA-binding domain
LYZ1	Alpha-lactalbumin / lysozyme C
LYZ2	Lysozyme subfamily 2
M16C_associated	Peptidase M16C associated
M60-like	Peptidase M60-like family
MA	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).
MA3	Domain in DAP-5, eIF4G, MA-3 and other proteins.
Mab-21	
Mac	Maltose acetyltransferase
MACPF	membrane-attack complex / perforin
Mad3_BUB1_I	Mad3/BUB1 hoMad3/BUB1 homology region 1
MADF	
MADS	
Mago-bind	Mago binding
MAGUK_N_PEST	Polyubiquitination (PEST) N-terminal domain of MAGUK
malic	Malic enzyme, N-terminal domain
Malic_M	Malic enzyme, NAD binding domain
MAM	Domain in meprin, A5, receptor protein tyrosine phosphatase mu (and others)
MamL-1	MamL-1 domain
MANEC	
MAPKK1_Int	Mitogen-activated protein kinase kinase 1 interacting
MATH	meprin and TRAF homology
Matrilin_ccoil	Trimeric coiled-coil oligomerisation domain of matrilin
MBD	Methyl-CpG binding domain
MBT	Present in Drosophila Scm, l(3)mbt, and vertebrate SCML2
MbtH	MbtH-like protein
MCM	minichromosome maintenance proteins
Mcm10	Mcm10 replication factor
MD	
Med12	Transcription mediator complex subunit Med12
MeTrc	Methyltransferase, chemotaxis proteins
MGS	MGS-like domain
MgtE_N	MgtE intracellular N domain
MHC_II_alpha	Class II histocompatibility antigen, alpha domain
MHC_II_beta	Class II histocompatibility antigen, beta domain
MIF4G	Middle domain of eukaryotic initiation factor 4G (eIF4G)
MIR	Domain in ryanodine and inositol trisphosphate receptors and protein O-mannosyltransferases
MIT	Microtubule Interacting and Trafficking molecule domain
ML	Domain involved in innate immunity and lipid metabolism.
MltA	MltA specific insert domain
MoCF_biosynth	Probable molybdopterin binding domain
Molybdop_Fe4S4	Molybdopterin oxidoreductase Fe4S4 domain
MORN	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
MR_MLE	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain
Mterf	Mitochondrial termination factor repeats
MutH	DNA mismatch repair enzyme MutH
MutL_C	MutL C terminal dimerisation domain
MUTSac	ATPase domain of DNA mismatch repair MUTS family
MUTSd	DNA-binding domain of DNA mismatch repair MUTS family
MYSc	Myosin. Large ATPases.
MyTH4	Domain in Myosin and Kinesin Tails
N-glycanase_N	Peptide-N-glycosidase F, N terminal
N-SET	COMPASS (Complex proteins associated with Set1p) component N
N1221	N1221-like protein
NADH-G_4Fe-4S_3	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
NADH_4Fe-4S	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
NAT_PEP	Natriuretic peptide
NDK	
NEAT	NEAr Transporter domain
NEBU	
NEUZ	
Nfu_N	Scaffold protein Nfu/NifU N terminal
NGF	Nerve growth factor (NGF or beta-NGF)
NGN	In Spt5p, this domain may confer affinity for Spt4p. It possesses a RNP-like fold.
NH	Neurohypophysial hormones
NIDO	Extracellular domain of unknown function in nidogen (entactin) and hypothetical proteins.
NIL	
NL	Domain found in Notch and Lin-12
NMU	Neuromedin U
NOSIC	NOSIC (NUC001) domain
NPCBM	
NRF	N-terminal domain in C. elegans NRF-6 (Nose Resistant to Fluoxetine-4) and NDG-4 (resistant to nordihydroguaiaretic acid-4).
NTR	Tissue inhibitor of metalloproteinase family.
NUC	DNA/RNA non-specific endonuclease
NurA	
OLF	Olfactomedin-like domains
OMPdecase	Orotidine 5'-phosphate decarboxylase / HUMPS family
OmpH	Outer membrane protein (OmpH-like)
ORANGE	Orange domain
OSTEO	Osteopontin
P-II	Nitrogen regulatory protein P-II
P4Hc	Prolyl 4-hydroxylase alpha subunit homologues.
PA14	
PA2c	Phospholipase A2
PAC	Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain)
PAH	Pancreatic hormones / neuropeptide F / peptide YY family
PAM	PCI/PINT associated module
PAN_AP	divergent subfamily of APPLE domains
ParB	ParB-like nuclease domain
PAS	PAS domain
PASTA	
PAW	domain present in PNGases and other hypothetical proteins
PAX	Paired Box domain
PAZ	
PB1	PB1 domain
PBD	P21-Rho-binding domain
PbH1	Parallel beta-helix repeats
PBP5_C	Penicillin-binding protein 5, C-terminal domain
PBPb	Bacterial periplasmic substrate-binding proteins
PBPe	Eukaryotic homologues of bacterial periplasmic substrate binding proteins.
PCRF	
PD	P or trefoil or TFF domain
PDGF	Platelet-derived and vascular endothelial growth factors (PDGF, VEGF) family
PDZ	Domain present in PSD-95, Dlg, and ZO-1/2.
Pept_C1	Papain family cysteine protease
PepX_C	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain
PepX_N	X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal
PGA_cap	Bacterial capsule synthesis protein PGA_cap
PGAM	Phosphoglycerate mutase family
PGRP	Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.
PH	Pleckstrin homology domain.
PHB	prohibitin homologues
PhBP	Insect pheromone/odorant binding protein domains.
PHD	PHD zinc finger
PhnA_Zn_Ribbon	PhnA Zinc-Ribbon
PI3K_C2	Phosphoinositide 3-kinase, region postulated to contain C2 domain
PI3K_p85B	PI3-kinase family, p85-binding domain
PI3K_rbd	PI3-kinase family, Ras-binding domain
PI3Ka	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
PI3Kc	Phosphoinositide 3-kinase, catalytic domain
PIG-X	PIG-X / PBN1
PINc	Large family of predicted nucleotide-binding domains
PINT	motif in proteasome subunits, Int-6, Nip-1 and TRIP-15
PIPKc	Phosphatidylinositol phosphate kinases
Piwi	
PKD	Repeats in polycystic kidney disease 1 (PKD1) and other proteins
PKS_AT	Acyl transferase domain in polyketide synthase (PKS) enzymes.
PKS_DH	
PKS_ER	Enoylreductase
PKS_KR	
PKS_KS	Beta-ketoacyl synthase
PKS_MT	Methyltransferase in polyketide synthase (PKS) enzymes.
PKS_PP	Phosphopantetheine attachment site
PKS_PP_betabranch	
PKS_TE	Thioesterase
PLAc	Cytoplasmic phospholipase A2, catalytic subunit
PLCXc	Phospholipase C, catalytic domain (part); domain X
PLCYc	Phospholipase C, catalytic domain (part); domain Y
PLDc	Phospholipase D. Active site motifs.
PLEC	Plectin repeat
PLP	Myelin proteolipid protein (PLP or lipophilin)
PlsC	Phosphate acyltransferases
Plus3	Short conserved domain in transcriptional regulators.
PMEI	Plant invertase/pectin methylesterase inhibitor
POL3Bc	DNA polymerase III beta subunit
POLAc	DNA polymerase A domain
POLBc	DNA polymerase type-B family
POLIIIAc	DNA polymerase alpha chain like domain
POLXc	DNA polymerase X family
PolyA	C-terminal domain of Poly(A)-binding protein. Present also in Drosophila hyperplastics discs protein.
POP4	A domain found in a protein subunit of human RNase MRP and RNase P ribonucleoprotein complexes and archaeal proteins.
PostSET	Cysteine-rich motif following a subset of SET domains
POU	Found in Pit-Oct-Unc transcription factors
POX	domain associated with HOX domains
PP2Ac	Protein phosphatase 2A homologues, catalytic domain.
PP2C_SIG	Sigma factor PP2C-like phosphatases
PP2Cc	Serine/threonine phosphatases, family 2C, catalytic domain
PQQ	beta-propeller repeat
PRE_C2HC	
PreSET	N-terminal to some SET domains
PriCT_1	Primase C terminal 1 (PriCT-1)
Prim-Pol	Bifunctional DNA primase/polymerase, N-terminal
Prim_Zn_Ribbon	Zinc-binding domain of primase-helicase
Pro-kuma_activ	Pro-kumamolisin, activation domain
Pro_CA	Carbonic anhydrase
PROF	Profilin
ProQ	ProQ/FINO family
ProRS-C_1	Prolyl-tRNA synthetase, C-terminal
Proteasome_A_N	Proteasome subunit A N-terminal signature Add an annotation
PRP	Major prion protein
PRY	
PSA	Paramecium Surface Antigen Repeat
PSI	domain found in Plexins, Semaphorins and Integrins
PSN	Presenilin, signal peptide peptidase, family
PSP	proline-rich domain in spliceosome associated proteins
PTB	Phosphotyrosine-binding domain, phosphotyrosine-interaction (PI) domain
PTBI	Phosphotyrosine-binding domain (IRS1-like)
PTH	Parathyroid hormone
PTI	Plant trypsin inhibitors
PTN	Pleiotrophin / midkine family
PTPc	Protein tyrosine phosphatase, catalytic domain
PTPc_DSPc	Protein tyrosine phosphatase, catalytic domain, undefined specificity
PTPc_motif	Protein tyrosine phosphatase, catalytic domain motif
PTX	Pentraxin / C-reactive protein / pentaxin family
PUA	Putative RNA-binding Domain in PseudoUridine synthase and Archaeosine transglycosylase
PUG	domain in protein kinases, N-glycanases and other nuclear proteins
Pumilio	Pumilio-like repeats
PUR	DNA/RNA-binding repeats in PUR-alpha/beta/gamma and in hypothetical proteins from spirochetes and the Bacteroides-Cytophaga-Flexibacter bacteria.
PWI	PWI, domain in splicing factors
PWWP	domain with conserved PWWP motif
PX	PhoX homologous domain, present in p47phox and p40phox.
PXA	Domain associated with PX domains
PYNP_C	Pyrimidine nucleoside phosphorylase C-terminal domain
PYRIN	PAAD/DAPIN/Pyrin domain
QLQ	
R3H	Putative single-stranded nucleic acids-binding domain
RA	Ras association (RalGDS/AF-6) domain
RAB	Rab subfamily of small GTPases
rADc	Ribosomal RNA adenine dimethylases
RAN	Ran (Ras-related nuclear proteins) /TC4 subfamily of small GTPases
RanBD	Ran-binding domain
RAP	
RAS	Ras subfamily of RAS small GTPases
RasGAP	GTPase-activator protein for Ras-like GTPases
RasGEF	Guanine nucleotide exchange factor for Ras-like small GTPases
RasGEFN	Guanine nucleotide exchange factor for Ras-like GTPases; N-terminal motif
RBD	Raf-like Ras-binding domain
REC	cheY-homologous receiver domain
RelA_SpoT	Region found in RelA / SpoT proteins
RES	
Resolvase	Resolvase, N terminal domain
RGS	Regulator of G protein signalling domain
RHO	Rho (Ras homology) subfamily of Ras-like small GTPases
Rho_N	Rho termination factor, N-terminal domain
RHOD	Rhodanese Homology Domain
RhoGAP	GTPase-activator protein for Rho-like GTPases
RhoGEF	Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases
RIBOc	Ribonuclease III family
RICIN	Ricin-type beta-trefoil
RIIa	RIIalpha, Regulatory subunit portion of type II PKA R-subunit
RING	Ring finger
RINGv	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
RIO	RIO-like kinase
RL11	Ribosomal protein L11/L12
RNAse_Pc	Pancreatic ribonuclease
RNB	
Robl_LC7	Roadblock/LC7 domain
RPEL	Repeat in Drosophila CG10860, human KIAA0680 and C. elegans F26H9.2
RPOL4c	DNA-directed RNA-polymerase II subunit
RPOL8c	RNA polymerase subunit 8
RPOL9	RNA polymerase subunit 9
RPOLA_N	RNA polymerase I subunit A N-terminus
RPOLCX	RNA polymerase subunit CX
RPOLD	RNA polymerases D
RPR	
RQC	
RRM	RNA recognition motif
RRM_1	RNA recognition motif
RRM_2	RNA recognition motif
Rtt106	Histone chaperone Rttp106-like
RuBisCO_small	Ribulose bisphosphate carboxylase, small chain
RUN	
RWD	
S1	Ribosomal protein S1-like RNA-binding domain
S4	S4 RNA-binding domain
s48_45	Sexual stage antigen s48/45 domain
S_TK_X	Extension to Ser/Thr-type protein kinases
S_TKc	Serine/Threonine protein kinases, catalytic domain
SAA	Serum amyloid A proteins
SAF	
SAM	Sterile alpha motif.
SAM_PNT	SAM / Pointed domain
SAND	SAND domain
SANT	SANT SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains
SAP	Putative DNA-binding (bihelical) motif predicted to be involved in chromosomal organisation
SAPA	Saposin/surfactant protein-B A-type DOMAIN
SapB	Saposin (B) Domains
SAR	Sar1p-like members of the Ras-family of small GTPases
SATase_N	Serine acetyltransferase, N-terminal
SCAN	leucine rich region
SCP	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
SCPU	Spore Coat Protein U domain
SCY	Intercrine alpha family (small cytokine C-X-C) (chemokine CXC).
SEA	Domain found in sea urchin sperm protein, enterokinase, agrin
SEC14	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)
Sec63	Sec63 Brl domain
Sec7	Sec7 domain
SecA_DEAD	SecA DEAD-like domain
SecA_PP_bind	SecA preprotein cross-linking domain
SEL1	Sel1-like repeats.
Sema	semaphorin domain
Semialdhyde_dh	Semialdehyde dehydrogenase, NAD binding domain
SEP	Domain present in Saccharomyces cerevisiae Shp1, Drosophila melanogaster eyes closed gene (eyc), and vertebrate p47.
SERPIN	SERine Proteinase INhibitors
SET	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
SF_P	Pulmonary surfactant proteins
SFM	Splicing Factor Motif, present in Prp18 and Pr04
SH2	Src homology 2 domains
SH3	Src homology 3 domains
SH3b	Bacterial SH3 domain homologues
ShKT	ShK toxin domain
SHR3_chaperone	ER membrane protein SH3
Skp1	Found in Skp1 protein family
Sm	snRNP Sm proteins
small_GTPase	Small GTPase of the Ras superfamily; ill-defined subfamily
SMC_hinge	SMC proteins Flexible Hinge Domain
SMI1_KNR4	SMI1 / KNR4 family
SMR	Small MutS-related domain
SNc	Staphylococcal nuclease homologues
SO	Somatomedin B -like domains
SOCS	suppressors of cytokine signalling
SOCS_box	
Sorb	Sorbin homologous domain
Spc7	Spc7 kinetochore protein
SPEC	Spectrin repeats
SPK	
SpoU_sub_bind	RNA 2'-O ribose methyltransferase substrate binding
SpoVT_AbrB	SpoVT / AbrB like domain
SprT	SprT homologues.
SPRY	Domain in SPla and the RYanodine Receptor.
SPT16	FACT complex subunit (SPT16/CDC68)
SPT2	SPT2 chromatin protein
SR	Scavenger receptor Cys-rich
SRA	SET and RING finger associated domain. Domain of unknown function in SET domain containing proteins and in Deinococcus radiodurans DRA1533.
SRP54	SRP54-type protein, GTPase domain
SRP54_N	SRP54-type protein, helical bundle domain
START	in StAR and phosphatidylcholine transfer protein
STAT_int	STAT protein, protein interaction domain
STE	STE like transcription factors
STI	Soybean trypsin inhibitor (Kunitz) family of protease inhibitors
STI1	Heat shock chaperonin-binding motif.
STN	Secretin and TonB N terminus short domain
STYKc	Protein kinase; unclassified specificity.
SWAP	Suppressor-of-White-APricot splicing regulator
SWIB	SWI complex, BAF60b domains
SynN	Syntaxin N-terminal domain
T5orf172	
t_SNARE	Helical region found in SNAREs
TAF	TATA box binding protein associated factor
TAFH	TAF homology
TAP_C	C-terminal domain of vertebrate Tap protein
TarH	Homologues of the ligand binding domain of Tar
TBC	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
TBOX	Domain first found in the mice T locus (Brachyury) protein
TDU	Short repeats in human TONDU, fly vestigial and other proteins.
TEA	TEA domain
TECPR	Beta propeller repeats in Physarum polycephalum tectonins, Limulus lectin L-6 and animal hypothetical proteins.
Telo_bind	Telomeric single stranded DNA binding POT1/CDC13
Telomerase_RBD	Telomerase ribonucleoprotein complex - RNA binding domain
TFIIE	Transcription initiation factor IIE
TFS2M	Domain in the central regions of transcription elongation factor S-II (and elsewhere)
TFS2N	Domain in the N-terminus of transcription elongation factor S-II (and elsewhere)
TGc	Transglutaminase/protease-like homologues
TGFB	Transforming growth factor-beta (TGF-beta) family
THAP	
THEG	Repeats in THEG (testicular haploid expressed gene) and several fly proteins.
THN	Thaumatin family
THUMP	
THY	Thymosin beta actin-binding motif.
Thymopoietin	
TIFY	
TilS_C	TilS substrate C-terminal domain
Tim44	
TIR	Toll - interleukin 1 - resistance
TK	Tachykinin family
TLC	TRAM, LAG1 and CLN8 homology domains.
TLDc	domain in TBC and LysM domain containing proteins
TNF	Tumour necrosis factor family.
TNFR	Tumor necrosis factor receptor / nerve growth factor receptor repeats.
TOP1Ac	Bacterial DNA topoisomerase I DNA-binding domain
TOP1Bc	Bacterial DNA topoisomeraes I ATP-binding domain
TOP2c	TopoisomeraseII
TOP4c	DNA Topoisomerase IV
TOPEUc	DNA Topoisomerase I (eukaryota)
TOPRIM	
TPK_B1_binding	Thiamin pyrophosphokinase, vitamin B1 binding domain
TPR	Tetratricopeptide repeats
TR_FER	Transferrin
TR_THY	Transthyretin
Trans_reg_C	Transcriptional regulatory protein, C terminal
Transket_pyr	Transketolase, pyrimidine binding domain
TRASH	metallochaperone-like domain
TRCF	
tRNA_SAD	Threonyl and Alanyl tRNA synthetase second additional domain
Tryp_SPc	Trypsin-like serine protease
TSP1	Thrombospondin type 1 repeats
TSPc	tail specific protease
TSPN	Thrombospondin N-terminal -like domains.
Tubulin	Tubulin/FtsZ family, GTPase domain
Tubulin_C	Tubulin/FtsZ family, C-terminal domain
TUDOR	Tudor domain
TY	Thyroglobulin type I repeats.
TyrKc	Tyrosine kinase, catalytic domain
UAS	
UBA	Ubiquitin associated domain
UBA_e1_C	Ubiquitin-activating enzyme e1 C-terminal domain
UBCc	Ubiquitin-conjugating enzyme E2, catalytic domain homologues
Ubox	Modified RING finger domain
UBQ	Ubiquitin homologues
UBX	Domain present in ubiquitin-regulatory proteins
uDENN	Domain always found upstream of DENN domain, found in a variety of signalling proteins
UDG	Uracil DNA glycosylase superfamily
UDPG_MGDP_dh_C	UDP binding domain
UIM	Ubiquitin-interacting motif.
UME	Domain in UVSB PI-3 kinase, MEI-41 and ESR-1
UreE_C	UreE urease accessory protein, C-terminal domain
UreE_N	UreE urease accessory protein, N-terminal domain
UTG	Uteroglobin
UTRA	
V4R	
VHP	Villin headpiece domain
VHS	Domain present in VPS-27, Hrs and STAM
VIT	Vault protein Inter-alpha-Trypsin domain
VKc	
VPS10	
VPS9	Domain present in VPS9
VRR_NUC	
VWA	von Willebrand factor (vWF) type A domain
VWC	von Willebrand factor (vWF) type C domain
VWC_def	
VWC_out	von Willebrand factor (vWF) type C domain
VWD	von Willebrand factor (vWF) type D domain
WAP	Four-disulfide core domains
WD40	WD40 repeats
WGR	Proposed nucleic acid binding domain
WH1	WASP homology region 1
WH2	Wiskott Aldrich syndrome homology region 2
WHEP-TRS	
WHy	Water Stress and Hypersensitive response
WIF	Wnt-inhibitory factor-1 like domain
WNT1	found in Wnt-1
WR1	Worm-specific repeat type 1
WRKY	DNA binding domain
WSC	present in yeast cell wall integrity and stress response component proteins
WSN	Worm-specific (usually) N-terminal domain
WW	Domain with 2 conserved Trp (W) residues
WWE	Domain in Deltex and TRIP12 homologues. Possibly involved in regulation of ubiquitin-mediated proteolysis.
X8	Possibly involved in carbohydrate binding
XPGI	Xeroderma pigmentosum G I-region
XPGN	Xeroderma pigmentosum G N-region
XTALbg	Beta/gamma crystallins
YccV-like	Hemimethylated DNA-binding protein YccV like
YceI	YceI-like domain
YL1_C	YL1 nuclear protein C-terminal domain
YqgFc	Likely ribonuclease with RNase H fold.
Zalpha	Z-DNA-binding domain in adenosine deaminases.
zf-AD	Zinc-finger associated domain (zf-AD)
zf-C4_ClpX	ClpX C4-type zinc finger
ZipA_C	ZipA, C-terminal domain (FtsZ-binding)
ZM	ZASP-like motif
Zn_dep_PLPC	Zinc dependent phospholipase C (alpha toxin)
Zn_pept	
ZnF_A20	A20-like zinc fingers
ZnF_AN1	AN1-like Zinc finger
ZnF_BED	BED zinc finger
ZnF_C2C2	C2C2 Zinc finger
ZnF_C2H2	zinc finger
ZnF_C2HC	zinc finger
ZnF_C3H1	zinc finger
ZnF_C4	c4 zinc finger in nuclear hormone receptors
ZnF_CDGSH	CDGSH-type zinc finger. Function unknown.
ZnF_CHCC	zinc finger
ZnF_DBF	Zinc finger in DBF-like proteins
ZnF_GATA	zinc finger binding to DNA consensus sequence [AT]GATA[AG]
ZnF_NFX	
ZnF_PMZ	plant mutator transposase zinc finger
ZnF_Rad18	Rad18-like CCHC zinc finger
ZnF_RBZ	Zinc finger domain
ZnF_TAZ	TAZ zinc finger, present in p300 and CBP
ZnF_TTF	
ZnF_U1	U1-like zinc finger
ZnF_UBP	Ubiquitin Carboxyl-terminal Hydrolase-like zinc finger
ZnF_UBR1	Putative zinc finger in N-recognin, a recognition component of the N-end rule pathway
ZnF_ZZ	Zinc-binding domain, present in Dystrophin, CREB-binding protein.
ZnMc	Zinc-dependent metalloprotease
ZP	Zona pellucida (ZP) domain
Zpr1	Duplicated domain in the epidermal growth factor- and elongation factor-1alpha-binding protein Zpr1. Also present in archaeal proteins.
ZU5	Domain present in ZO-1 and Unc5-like netrin receptors
